Noise_Type,Model,Relative_Drop
asymmetric,SVM,0.035955448926738666
asymmetric,Random Forest,0.08825774183595597
asymmetric,Logistic Regression,0.10834901297955794
asymmetric,LightGBM,0.1291659305183019
asymmetric,KNN,0.12960843422049556
asymmetric,Decision Tree,0.18281433158350752
symmetric,SVM,0.06480878310745314
symmetric,Logistic Regression,0.09206875657747869
symmetric,Random Forest,0.09396759289386347
symmetric,KNN,0.16961939612786753
symmetric,LightGBM,0.19829427731645816
symmetric,Decision Tree,0.26300529028757463
